Drug,kon,koff,m,mu,Kd
Alisertib,"1.69e+02 (1.16e+02, 1.77e+02)","0.426 (0.359, 0.494)","0.105 (0.103, 0.125)","3.05 (3.0, 3.41)","0.00224 (0.00206, 0.00401)"
CA4,"3.12 (0.923, 6.76)","0.922 (0.851, 1.01)","5.34 (4.67, 6.69)","7.2 (2.99, 12.2)","0.285 (0.143, 0.994)"
Colchicine,"0.703 (0.306, 1.38)","0.11 (0.107, 0.113)","5.34 (4.67, 6.69)","2.92 (1.57, 5.12)","0.156 (0.0807, 0.355)"
DTX,"3.35e+02 (1.93e+02, 5.22e+02)","9.86 (6.4, 19.2)","10.4 (10.1, 10.8)","0.409 (0.389, 0.433)","0.0415 (0.03, 0.0468)"
Erlotinib,"1.23 (0.235, 2.96)","0.728 (0.577, 0.936)","0.294 (0.253, 0.341)","5.46 (5.07, 5.72)","0.622 (0.253, 1.49)"
Ispinesib,"0.825 (0.00864, 2.08e+02)","0.0261 (0.0148, 0.0714)","0.535 (0.0259, 1.02)","1.84 (1.72, 2.14)","0.0201 (0.000776, 1.75)"
Ixazomib,"1.75e+03 (4.74e+02, 5.03e+03)","5.91 (1.04, 16.4)","0.865 (0.824, 0.997)","0.349 (0.342, 0.441)","0.00299 (0.00195, 0.00385)"
PTX,"3.09e+02 (3.01e+02, 3.24e+02)","36.8 (35.4, 38.1)","12.5 (12.3, 12.7)","1.03 (1.02, 1.03)","0.119 (0.111, 0.127)"
Rapamycin,"2.59e+02 (2.32e+02, 3.24e+02)","1.6 (1.5, 1.68)","0.471 (0.376, 0.543)","6.64 (6.24, 7.05)","0.00596 (0.00475, 0.00751)"
Selumetinib,"3.62e+02 (1.56e+02, 1.37e+03)","32.1 (22.3, 1.13e+02)","0.231 (0.161, 0.298)","2.78 (2.72, 2.81)","0.13 (0.0804, 0.164)"
Topotecan,"4.71e+03 (2.05e+03, 1.27e+04)","5.56e+02 (2.75e+02, 1.44e+03)","0.0671 (0.0488, 0.0895)","0.966 (0.96, 0.977)","0.116 (0.0986, 0.139)"
Trametinib,"2.15 (1.93, 2.68)","0.115 (0.114, 0.117)","1.29 (1.19, 1.38)","1.19 (1.06, 1.26)","0.0532 (0.0431, 0.0601)"
VB,"20.2 (1.73, 96.6)","53.2 (8.81, 1.09e+02)","1.68 (1.08, 3.73)","1.03 (0.992, 1.1)","1.32 (0.811, 3.99)"
